day;00:00;buy;1;unit;at;price;8931.300000;total;balance;1068.700000;;;
day;1;sell;1;unit;at;price;9648.000000;investment;8.024588;%;total;balance;10716.700000
day;02:00;buy;1;unit;at;price;8865.980000;total;balance;1850.720000;;;
day;3;sell;1;unit;at;price;9272.110000;investment;4.580768;%;total;balance;11122.830000
day;04:00;buy;1;unit;at;price;8922.550000;total;balance;2200.280000;;;
day;8;sell;1;unit;at;price;9072.290000;investment;1.678220;%;total;balance;11272.570000
day;10:00;buy;1;unit;at;price;9725.740000;total;balance;1546.830000;;;
day;13;sell;1;unit;at;price;9600.000000;investment;-1.292858;%;total;balance;11146.830000
day;20:00;buy;1;unit;at;price;8686.100000;total;balance;2460.730000;;;
day;22;sell;1;unit;at;price;8477.460000;investment;-2.401999;%;total;balance;10938.190000
day;24:00:00;buy;1;unit;at;price;8059.000000;total;balance;2879.190000;;;
day;28;sell;1;unit;at;price;8393.440000;investment;4.149895;%;total;balance;11272.630000
day;34:00:00;buy;1;unit;at;price;7346.640000;total;balance;3925.990000;;;
day;44;sell;1;unit;at;price;7655.000000;investment;4.197293;%;total;balance;11580.990000
day;50:00:00;buy;1;unit;at;price;6544.990000;total;balance;5036.000000;;;
day;52;sell;1;unit;at;price;6638.490000;investment;1.428574;%;total;balance;11674.490000
day;53:00:00;buy;1;unit;at;price;6391.220000;total;balance;5283.270000;;;
day;59;sell;1;unit;at;price;6719.010000;investment;5.128755;%;total;balance;12002.280000
day;60:00:00;buy;1;unit;at;price;6059.820000;total;balance;5942.460000;;;
day;61;sell;1;unit;at;price;6178.290000;investment;1.955009;%;total;balance;12120.750000
day;66:00:00;buy;1;unit;at;price;5851.660000;total;balance;6269.090000;;;
day;67:00:00;buy;1;unit;at;price;6202.360000;total;balance;66.730000;;;
day;75;sell;1;unit;at;price;6753.280000;investment;15.407936;%;total;balance;6820.010000
day;77;sell;1;unit;at;price;6664.010000;investment;7.443135;%;total;balance;13484.020000
day;80:00:00;buy;1;unit;at;price;6249.750000;total;balance;7234.270000;;;
day;82:00:00;buy;1;unit;at;price;6248.650000;total;balance;985.620000;;;
day;84;sell;1;unit;at;price;6728.810000;investment;7.665267;%;total;balance;7714.430000
day;85:00:00;buy;1;unit;at;price;7315.010000;total;balance;399.420000;;;
day;91;sell;1;unit;at;price;7720.090000;investment;23.548126;%;total;balance;8119.510000
day;95;sell;1;unit;at;price;8184.210000;investment;11.882417;%;total;balance;16303.720000
day;96:00:00;buy;1;unit;at;price;8228.900000;total;balance;8074.820000;;;
day;98;sell;1;unit;at;price;8170.010000;investment;-0.715649;%;total;balance;16244.830000
day;99:00:00;buy;1;unit;at;price;7727.270000;total;balance;8517.560000;;;
day;100;sell;1;unit;at;price;7603.990000;investment;-1.595389;%;total;balance;16121.550000
day;106:00:00;buy;1;unit;at;price;6718.220000;total;balance;9403.330000;;;
day;107;sell;1;unit;at;price;6282.500000;investment;-6.485646;%;total;balance;15685.830000
day;109:00:00;buy;1;unit;at;price;6146.010000;total;balance;9539.820000;;;
day;111:00:00;buy;1;unit;at;price;6112.210000;total;balance;3427.610000;;;
day;114;sell;1;unit;at;price;6269.010000;investment;2.001298;%;total;balance;9696.620000
day;115:00:00;buy;1;unit;at;price;6315.900000;total;balance;3380.720000;;;
day;120;sell;1;unit;at;price;6475.900000;investment;5.950221;%;total;balance;9856.620000
